"","name","BLAS","pts"
"89558","the u school: innovative lab",35.66,0
"89603","the workshop school",42.92,0
"89648","tilden william t ms",43.11,0
"89693","vare-washington el school",66.46,0
"89738","wagner gen louis ms",45.69,0
"89783","waring laura w school",52.53,0
"89828","washington george hs",48.45,0
"89873","washington grover jr school",48.78,0
"89918","washington martha school",52.18,0
"89963","webster school",46.7,0
"90008","welsh john school",51.73,0
"90053","west philadelphia hs",49.05,0
"90098","widener memorial school",40.13,0
"90143","willard frances e school",63.89,0
"90188","wilson woodrow ms",45.71,0
"90233","wright richard r school",57.38,0
"90278","ziegler william h school",42.09,0
"90323","philadelphia electrical & technology chs",64.26,0
"90368","philadelphia montessori cs",49.91,0
"90413","philadelphia performing arts cs",71.15,1
"95408","preparatory cs of mathematics, science, tech, and careers",50.8,0
"100898","sankofa freedom academy charter school",55.93,0
"112328","tacony academy charter school",59.87,0
"112598","the philadelphia cs for arts and sciences at hr edmunds",52.43,0
"116513","universal audenried charter school",38.47,0
"123803","west phila. achievement ces",42.43,0
"128348","world communications cs",38.49,0
