mapname,planURL
North Central,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_Lower%20North%20Book_FINAL%20POST%20PROOFREADER.pdf
Northeast Phila Airport,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Northern Liberties,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Central_DP_FINAL.pdf
Northwood,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/CNE_DP_MAR%2017.pdf
Ogontz,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/2015_UNO_DistrictPlanBook.pdf
Old City,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Central_DP_FINAL.pdf
Old Kensington,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_Lower%20North%20Book_FINAL%20POST%20PROOFREADER.pdf
Olney,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/2015_UNO_DistrictPlanBook.pdf
Overbrook,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/WestParkReport.pdf
Oxford Circle,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LNE%20DP%20Full_Final.pdf
Packer Park,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LS%20District%20Plan.pdf
Parkwood Manor,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Paschall,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LSW_ALL_06142016_reduced.pdf
Passyunk Square,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_South_FinalDraftforCommission.pdf
Pennsport,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_South_FinalDraftforCommission.pdf
Pennypack,https://www.phila.gov/CityPlanning/plans/Area%20Plans/UHGSR2.pdf
Pennypack Park,https://www.phila.gov/CityPlanning/plans/Area%20Plans/UHGSR2.pdf
Pennypack Woods,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
